seconds,x,z,yaw_radians,speed_mps,distance_m,step_distance_m
1.21667,-4.78356,-3.18647,-2.88156,0.9,0.841832,0.0149999
1.23333,-4.7797,-3.17197,-2.88156,0.9,0.856831,0.0149999
1.25,-4.77584,-3.15748,-2.88156,0.9,0.871831,0.0149999
1.26667,-4.77199,-3.14298,-2.88156,0.9,0.886831,0.0150001
1.28333,-4.76813,-3.12849,-2.88156,0.9,0.901831,0.0150001
1.3,-4.76427,-3.11399,-2.88156,0.9,0.916832,0.0150001
1.31667,-4.76042,-3.09949,-2.88156,0.9,0.931832,0.0150001
1.33333,-4.75656,-3.085,-2.88156,0.9,0.946832,0.0149999
1.35,-4.7527,-3.0705,-2.88156,0.9,0.961831,0.0149999
1.36667,-4.74885,-3.05601,-2.88156,0.9,0.976831,0.0149999
1.38333,-4.74499,-3.04151,-2.88156,0.9,0.991831,0.0149999
1.4,-4.74113,-3.02702,-2.88156,0.9,1.00683,0.0150001
1.41667,-4.73728,-3.01252,-2.88156,0.9,1.02183,0.0149999
1.43333,-4.73342,-2.99802,-2.88156,0.9,1.03683,0.0149999
1.45,-4.72956,-2.98353,-2.88156,0.9,1.05183,0.0149999
1.46667,-4.72571,-2.96903,-2.88156,0.9,1.06683,0.0149999
1.48333,-4.72185,-2.95454,-2.88156,0.9,1.08183,0.0149999
1.5,-4.71799,-2.94004,-2.88156,0.9,1.09683,0.0149999
1.51667,-4.71414,-2.92555,-2.88156,0.9,1.11183,0.0150001
1.53333,-4.71028,-2.91105,-2.88156,0.9,1.12683,0.0150001
1.55,-4.70642,-2.89655,-2.88156,0.9,1.14183,0.0150001
1.56667,-4.70257,-2.88206,-2.88156,0.9,1.15683,0.0150001
1.58333,-4.69871,-2.86756,-2.88156,0.9,1.17183,0.0149999
1.6,-4.69485,-2.85307,-2.88156,0.9,1.18683,0.0149999
1.61667,-4.691,-2.83857,-2.88156,0.9,1.20183,0.0150001
1.63333,-4.68714,-2.82408,-2.88156,0.9,1.21683,0.0150001
1.65,-4.68328,-2.80958,-2.88156,0.9,1.23183,0.0150001
1.66667,-4.67943,-2.79508,-2.88156,0.9,1.24683,0.0149999
1.68333,-4.67557,-2.78059,-2.88156,0.9,1.26183,0.0149999
1.7,-4.67171,-2.76609,-2.88156,0.9,1.27683,0.0149999
1.71667,-4.66786,-2.7516,-2.88156,0.9,1.29183,0.0149999
1.73333,-4.664,-2.7371,-2.88156,0.9,1.30683,0.0149999
1.75,-4.66014,-2.72261,-2.88156,0.9,1.32183,0.0149999
1.76667,-4.65629,-2.70811,-2.88156,0.9,1.33683,0.0149999
1.78333,-4.65243,-2.69362,-2.88156,0.9,1.35183,0.0149999
1.8,-4.64857,-2.67912,-2.88156,0.9,1.36683,0.0149999
1.81667,-4.64472,-2.66462,-2.88156,0.9,1.38183,0.0149999
1.83333,-4.64086,-2.65013,-2.88156,0.9,1.39683,0.0150001
1.85,-4.637,-2.63563,-2.88156,0.9,1.41183,0.0149999
1.86667,-4.63315,-2.62114,-2.88156,0.9,1.42683,0.0149999
1.88333,-4.62929,-2.60664,-2.88156,0.9,1.44183,0.0149999
1.9,-4.62543,-2.59215,-2.88156,0.9,1.45683,0.0150001
1.91667,-4.62158,-2.57765,-2.88156,0.9,1.47183,0.0149999
1.93333,-4.61772,-2.56315,-2.88156,0.9,1.48683,0.0150001
1.95,-4.61386,-2.54866,-2.88156,0.9,1.50183,0.0149999
1.96667,-4.61001,-2.53416,-2.88156,0.9,1.51683,0.0149999
1.98333,-4.60615,-2.51967,-2.88156,0.9,1.53183,0.0149999
2,-4.60229,-2.50517,-2.88156,0.9,1.54683,0.0149999
2.01667,-4.59844,-2.49068,-2.88156,0.9,1.56183,0.0149999
2.03333,-4.59458,-2.47618,-2.88156,0.9,1.57683,0.0149999
2.05,-4.59072,-2.46168,-2.88156,0.9,1.59183,0.0150001
2.06667,-4.58687,-2.44719,-2.88156,0.9,1.60683,0.0150001
2.08333,-4.58301,-2.43269,-2.88156,0.9,1.62183,0.0149999
2.1,-4.57915,-2.4182,-2.88156,0.9,1.63683,0.0149999
2.11667,-4.5753,-2.4037,-2.88156,0.9,1.65183,0.0150001
2.13333,-4.57144,-2.38921,-2.88156,0.9,1.66683,0.0150001
2.15,-4.56758,-2.37471,-2.88156,0.9,1.68183,0.0149999
2.16667,-4.56373,-2.36021,-2.88156,0.9,1.69683,0.0150001
2.18333,-4.55987,-2.34572,-2.88156,0.9,1.71183,0.0150001
2.2,-4.55601,-2.33122,-2.88156,0.9,1.72683,0.0150001
2.21667,-4.55216,-2.31673,-2.88156,0.9,1.74183,0.0149999
2.23333,-4.5483,-2.30223,-2.88156,0.9,1.75683,0.0149999
2.25,-4.54444,-2.28774,-2.88156,0.9,1.77183,0.0150001
2.26667,-4.54059,-2.27324,-2.88156,0.9,1.78683,0.0149999
2.28333,-4.53673,-2.25874,-2.88156,0.9,1.80183,0.0149999
2.3,-4.53287,-2.24425,-2.88156,0.9,1.81683,0.0150001
2.31667,-4.52902,-2.22975,-2.88156,0.9,1.83183,0.0149999
2.33333,-4.52516,-2.21526,-2.88156,0.9,1.84683,0.0150001
2.35,-4.5213,-2.20076,-2.88156,0.9,1.86183,0.0150001
2.36667,-4.51745,-2.18627,-2.88156,0.9,1.87683,0.0149999
2.38333,-4.51359,-2.17177,-2.88156,0.9,1.89183,0.0149999
2.4,-4.50973,-2.15727,-2.88156,0.9,1.90683,0.0150001
2.41667,-4.50588,-2.14278,-2.88156,0.9,1.92183,0.0149999
2.43333,-4.50202,-2.12828,-2.88156,0.9,1.93683,0.0149999
2.45,-4.49816,-2.11379,-2.88156,0.9,1.95183,0.0150001
2.46667,-4.49431,-2.09929,-2.88156,0.9,1.96683,0.0149999
2.48333,-4.49045,-2.0848,-2.88156,0.9,1.98183,0.0150001
2.5,-4.48659,-2.0703,-2.88156,0.9,1.99683,0.0149999
2.51667,-4.48274,-2.0558,-2.88156,0.9,2.01183,0.0150001
2.53333,-4.47888,-2.04131,-2.88156,0.9,2.02683,0.0150001
2.55,-4.47502,-2.02681,-2.88156,0.9,2.04183,0.0150001
2.56667,-4.47117,-2.01232,-2.88156,0.9,2.05683,0.0150001
2.58333,-4.46731,-1.99782,-2.88156,0.9,2.07183,0.015
2.6,-4.46345,-1.98333,-2.88156,0.9,2.08683,0.015
2.61667,-4.4596,-1.96883,-2.88156,0.9,2.10183,0.015
2.63333,-4.45574,-1.95433,-2.88156,0.9,2.11683,0.015
2.65,-4.45188,-1.93984,-2.88156,0.9,2.13183,0.015
2.66667,-4.44803,-1.92534,-2.88156,0.9,2.14683,0.015
2.68333,-4.44417,-1.91085,-2.88156,0.9,2.16183,0.015
2.7,-4.44031,-1.89635,-2.88156,0.9,2.17683,0.015
2.71667,-4.43646,-1.88186,-2.88156,0.9,2.19183,0.015
2.73333,-4.4326,-1.86736,-2.88156,0.9,2.20683,0.015
2.75,-4.42874,-1.85286,-2.88156,0.9,2.22183,0.015
2.76667,-4.42489,-1.83837,-2.88156,0.9,2.23683,0.015
2.78333,-4.42103,-1.82387,-2.88156,0.9,2.25183,0.015
2.8,-4.41717,-1.80938,-2.88156,0.9,2.26683,0.015
2.81667,-4.41332,-1.79488,-2.88156,0.9,2.28183,0.015
2.83333,-4.40946,-1.78039,-2.88156,0.9,2.29683,0.015
2.85,-4.4056,-1.76589,-2.88156,0.9,2.31183,0.015
2.86667,-4.40175,-1.75139,-2.88156,0.9,2.32683,0.015
2.88333,-4.39789,-1.7369,-2.88156,0.9,2.34183,0.015
2.9,-4.39403,-1.7224,-2.88156,0.9,2.35683,0.015
2.91667,-4.39018,-1.70791,-2.88156,0.9,2.37183,0.015
2.93333,-4.38632,-1.69341,-2.88156,0.9,2.38683,0.015
2.95,-4.38246,-1.67891,-2.88156,0.9,2.40183,0.015
2.96667,-4.37861,-1.66442,-2.88156,0.9,2.41683,0.015
2.98333,-4.37475,-1.64992,-2.88156,0.9,2.43183,0.015
3,-4.37089,-1.63543,-2.88156,0.9,2.44683,0.015
3.01667,-4.36704,-1.62093,-2.88156,0.9,2.46183,0.015
3.03333,-4.36318,-1.60644,-2.88156,0.9,2.47683,0.015
3.05,-4.35932,-1.59194,-2.88156,0.9,2.49183,0.015
3.06667,-4.35547,-1.57744,-2.88156,0.9,2.50683,0.015
3.08333,-4.35161,-1.56295,-2.88156,0.9,2.52183,0.015
3.1,-4.34775,-1.54845,-2.88156,0.9,2.53683,0.015
3.11667,-4.3439,-1.53396,-2.88156,0.9,2.55183,0.015
3.13333,-4.34004,-1.51946,-2.88156,0.9,2.56683,0.015
3.15,-4.33618,-1.50497,-2.88156,0.9,2.58183,0.015
3.16667,-4.33233,-1.49047,-2.88156,0.9,2.59683,0.015
3.18333,-4.32847,-1.47597,-2.88156,0.9,2.61183,0.015
3.2,-4.32461,-1.46148,-2.88156,0.9,2.62683,0.015
3.21667,-4.32076,-1.44698,-2.88156,0.9,2.64183,0.015
3.23333,-4.3169,-1.43249,-2.88156,0.9,2.65683,0.015
3.25,-4.31304,-1.41799,-2.88156,0.9,2.67183,0.015
3.26667,-4.30919,-1.4035,-2.88156,0.9,2.68683,0.015
3.28333,-4.30533,-1.389,-2.88156,0.9,2.70183,0.015
3.3,-4.30147,-1.3745,-2.88156,0.9,2.71683,0.015
3.31667,-4.29762,-1.36001,-2.88156,0.9,2.73183,0.015
3.33333,-4.29376,-1.34551,-2.88156,0.9,2.74683,0.015
3.35,-4.2899,-1.33102,-2.88156,0.9,2.76183,0.015
3.36667,-4.28605,-1.31652,-2.88156,0.9,2.77683,0.015
3.38333,-4.28219,-1.30203,-2.88156,0.9,2.79183,0.015
3.4,-4.27833,-1.28753,-2.88156,0.9,2.80683,0.015
3.41667,-4.27448,-1.27303,-2.88156,0.9,2.82183,0.015
3.43333,-4.27062,-1.25854,-2.88156,0.9,2.83683,0.015
3.45,-4.26676,-1.24404,-2.88156,0.9,2.85183,0.015
3.46667,-4.26291,-1.22955,-2.88156,0.9,2.86683,0.015
3.48333,-4.25905,-1.21505,-2.88156,0.9,2.88183,0.015
3.5,-4.25519,-1.20056,-2.88156,0.9,2.89683,0.015
3.51667,-4.25134,-1.18606,-2.88156,0.9,2.91183,0.015
3.53333,-4.24748,-1.17156,-2.88156,0.9,2.92683,0.015
3.55,-4.24362,-1.15707,-2.88156,0.9,2.94183,0.015
3.56667,-4.23977,-1.14257,-2.88156,0.9,2.95684,0.015
3.58333,-4.23591,-1.12808,-2.88156,0.9,2.97184,0.015
3.6,-4.23205,-1.11358,-2.88156,0.9,2.98684,0.015
3.61667,-4.2282,-1.09909,-2.88156,0.9,3.00184,0.015
3.63333,-4.22434,-1.08459,-2.88156,0.9,3.01684,0.015
3.65,-4.22048,-1.07009,-2.88156,0.9,3.03184,0.015
3.66667,-4.21663,-1.0556,-2.88156,0.9,3.04684,0.015
3.68333,-4.21277,-1.0411,-2.88156,0.9,3.06184,0.015
3.7,-4.20891,-1.02661,-2.88156,0.9,3.07684,0.015
3.71667,-4.20506,-1.01211,-2.88156,0.9,3.09184,0.015
3.73333,-4.2012,-0.997616,-2.88156,0.9,3.10684,0.015
3.75,-4.19734,-0.98312,-2.88156,0.9,3.12184,0.015
3.76667,-4.19349,-0.968624,-2.88156,0.9,3.13684,0.015
3.78333,-4.18963,-0.954128,-2.88156,0.9,3.15184,0.015
3.8,-4.18577,-0.939633,-2.88156,0.9,3.16684,0.015
3.81667,-4.18192,-0.925137,-2.88156,0.9,3.18184,0.015
3.83333,-4.17806,-0.910641,-2.88156,0.9,3.19684,0.015
3.85,-4.1742,-0.896145,-2.88156,0.9,3.21184,0.015
3.86667,-4.17035,-0.88165,-2.88156,0.9,3.22684,0.015
3.88333,-4.16649,-0.867154,-2.88156,0.9,3.24184,0.015
3.9,-4.16263,-0.852658,-2.88156,0.9,3.25684,0.015
3.91667,-4.15878,-0.838163,-2.88156,0.9,3.27184,0.015
3.93333,-4.15492,-0.823667,-2.88156,0.9,3.28684,0.015
3.95,-4.15106,-0.809171,-2.88156,0.9,3.30184,0.015
3.96667,-4.14721,-0.794675,-2.88156,0.9,3.31684,0.015
3.98333,-4.14335,-0.78018,-2.88156,0.9,3.33184,0.015
